,game_id,posteam,passer_player_name,team_rush_epa,total_rush_yds,air_yards,yards_after_catch,yards_gained,sack_yards,touchdown,complete_pass,interception,pass_attempt,sack,qb_dropback,qb_epa,home_team,away_team,year,short_pass,win,any_a,passer_rating,percent_pass_yds_from_yac,sacks_per_dropback,percent_short_pass
3684,2006_01_ATL_CAR,ATL,M.Vick,0.04985950935452235,252.0,223.0,71.0,133.0,-7.0,2.0,10.0,0.0,23.0,1.0,23.0,0.1832320997867573,CAR,ATL,2006,18,False,11.25,107.69927536231883,0.5338345864661654,0.043478260869565216,0.782608695652174
3685,2006_01_ATL_CAR,CAR,J.Delhomme,-0.09058700851164767,65.0,315.0,53.0,150.0,-36.0,0.0,21.0,1.0,43.0,4.0,43.0,-0.3848547566352034,CAR,ATL,2006,32,False,6.51063829787234,63.61434108527132,0.35333333333333333,0.09302325581395349,0.7441860465116279
3686,2006_01_BAL_TB,BAL,S.McNair,-0.15145319506786262,103.0,220.0,53.0,168.0,-13.0,1.0,17.0,0.0,28.0,1.0,27.0,0.24811477331236956,TB,BAL,2006,7,False,8.724137931034482,97.32142857142857,0.31547619047619047,0.037037037037037035,0.25
3687,2006_01_BAL_TB,TB,C.Simms,-0.14376159085748833,26.0,141.0,64.0,113.0,-20.0,1.0,17.0,3.0,31.0,2.0,31.0,-0.8981006048495822,TB,BAL,2006,11,False,1.393939393939394,37.16397849462365,0.5663716814159292,0.06451612903225806,0.3548387096774194
3688,2006_01_BUF_NE,BUF,J.Losman,-0.12251857749167001,99.0,156.0,89.0,141.0,-23.0,0.0,15.0,0.0,26.0,3.0,26.0,0.027880726028108614,NE,BUF,2006,20,True,6.172413793103448,75.1602564102564,0.6312056737588653,0.11538461538461539,0.7692307692307693
3689,2006_01_BUF_NE,NE,T.Brady,-0.01643547694704177,183.0,228.0,54.0,136.0,-27.0,3.0,11.0,1.0,26.0,3.0,26.0,-0.16399783950487082,NE,BUF,2006,16,True,9.310344827586206,96.31410256410257,0.39705882352941174,0.11538461538461539,0.6153846153846154
3690,2006_01_CHI_GB,CHI,R.Grossman,-0.23969042898707768,109.0,287.0,73.0,256.0,-6.0,1.0,18.0,1.0,27.0,1.0,27.0,0.4386710584705846,GB,CHI,2006,19,False,9.571428571428571,98.8425925925926,0.28515625,0.037037037037037035,0.7037037037037037
3691,2006_01_CHI_GB,GB,B.Favre,-0.2372165656972514,103.0,367.0,65.0,148.0,-22.0,0.0,15.0,2.0,32.0,3.0,32.0,-0.3016252674360496,GB,CHI,2006,18,False,8.542857142857143,62.890625,0.4391891891891892,0.09375,0.5625
3692,2006_01_CIN_KC,CIN,C.Palmer,-0.020369124552577497,116.0,132.0,87.0,120.0,-7.0,0.0,13.0,0.0,20.0,1.0,20.0,-0.07643660596873306,KC,CIN,2006,6,False,6.619047619047619,83.75,0.725,0.05,0.3
3693,2006_01_CIN_KC,KC,T.Green,0.07040640303833548,113.0,143.0,11.0,66.0,-24.0,0.0,11.0,1.0,18.0,3.0,18.0,-0.2566150727086805,KC,CIN,2006,9,False,5.809523809523809,62.96296296296296,0.16666666666666666,0.16666666666666666,0.5
3694,2006_01_DAL_JAX,DAL,D.Bledsoe,0.06363382956391236,88.0,304.0,85.0,235.0,-11.0,1.0,16.0,3.0,35.0,2.0,35.0,-0.09527637676533135,JAX,DAL,2006,26,True,5.405405405405405,50.17857142857143,0.3617021276595745,0.05714285714285714,0.7428571428571429
3695,2006_01_DAL_JAX,JAX,B.Leftwich,-0.16003842637602755,78.0,248.0,84.0,229.0,-8.0,1.0,23.0,1.0,35.0,1.0,35.0,0.15314027654341023,JAX,DAL,2006,27,True,6.416666666666667,83.98809523809523,0.36681222707423583,0.02857142857142857,0.7714285714285715
3696,2006_01_DEN_STL,DEN,J.Plummer,0.08173804690753006,161.0,233.0,59.0,98.0,-40.0,0.0,13.0,3.0,30.0,4.0,30.0,-0.7920507859516265,LA,DEN,2006,20,True,4.0588235294117645,28.888888888888893,0.6020408163265306,0.13333333333333333,0.6666666666666666
3697,2006_01_DEN_STL,LA,M.Bulger,-0.15396770970671397,125.0,220.0,122.0,195.0,-22.0,0.0,18.0,0.0,37.0,3.0,37.0,-0.2624674727460833,LA,DEN,2006,29,True,6.05,67.39864864864865,0.6256410256410256,0.08108108108108109,0.7837837837837838
